"","NEST_NO","SPECIES","DATE","OBS","EGGNO","LENGTH","WIDTH","LINK","WEBTAG","WEIGHT","RADIO","TAGDATE","Year"
"255","230","SPEI",1993-06-05,"HMS",2,63.3,44.8,NA,NA,NA,NA,NA,"1993"
"256","230","SPEI",1993-06-05,"HMS",3,62,44.5,NA,NA,NA,NA,NA,"1993"
"257","230","SPEI",1993-06-05,"HMS",4,65,44.5,NA,NA,NA,NA,NA,"1993"
"258","230","SPEI",1993-06-05,"HMS",5,64.6,45.2,NA,NA,NA,NA,NA,"1993"
"259","230","SPEI",1993-06-05,"HMS",6,66.5,45.1,NA,NA,NA,NA,NA,"1993"
"260","232","SPEI",1993-06-05,"HMS",1,68.5,45.6,NA,NA,NA,NA,NA,"1993"
"261","232","SPEI",1993-06-05,"HMS",2,70,44.5,NA,NA,NA,NA,NA,"1993"
"262","232","SPEI",1993-06-05,"HMS",3,67.5,44,NA,NA,NA,NA,NA,"1993"
"263","233","SPEI",1993-06-05,"HMS",1,62.9,45.4,NA,NA,NA,NA,NA,"1993"
"264","233","SPEI",1993-06-05,"HMS",2,67,47.5,NA,NA,NA,NA,NA,"1993"
